hours,dH_curl,dH_roll
91.0,-1.977302,-1.967496
92.0,-2.000019,-1.975128
93.0,-1.933037,-1.991836
94.0,-2.160083,-2.034185
95.0,-2.120308,-2.079642
96.0,-1.858336,-2.125978
97.0,-2.014847,-2.174005
98.0,-2.111169,-2.205196
99.0,-2.400267,-2.255712
100.0,-2.465786,-2.314020
101.0,-2.510239,-2.335000
102.0,-2.536670,-2.356146
103.0,-2.351592,-2.385997
104.0,-2.606214,-2.384476
105.0,-2.632733,-2.360877
106.0,-2.411842,-2.300211
107.0,-2.374061,-2.233045
108.0,-2.216544,-2.181456
109.0,-1.996602,-2.132507
110.0,-1.827977,-2.102855
111.0,-1.672270,-2.049499
112.0,-1.659792,-1.982441
113.0,-1.891172,-1.922141
114.0,-1.949291,-1.858402
115.0,-1.995757,-1.785918
116.0,-1.965948,-1.721341
117.0,-1.828043,-1.677175
118.0,-1.688242,-1.628661
119.0,-1.609182,-1.580712
120.0,-1.346744,-1.526017
121.0,-1.221673,-1.474082
122.0,-1.297986,-1.430294
123.0,-1.090104,-1.401987
124.0,-1.084405,-1.376159
125.0,-1.234827,-1.328167
126.0,-1.326069,-1.302293
127.0,-1.470306,-1.306737
128.0,-1.626270,-1.320457
129.0,-1.518099,-1.324424
130.0,-1.112346,-1.341158
131.0,-1.298692,-1.357578
132.0,-1.400065,-1.358876
133.0,-1.386315,-1.342654
134.0,-1.345587,-1.304695
135.0,-1.290916,-1.247530
136.0,-1.281442,-1.186261
137.0,-1.250411,-1.169061
138.0,-1.131402,-1.121980
139.0,-1.014800,-1.067718
140.0,-0.940285,-1.020510
141.0,-0.782875,-0.975593
142.0,-0.905939,-0.939250
143.0,-0.733718,-0.897249
144.0,-0.748930,-0.861782
145.0,-0.819818,-0.839859
146.0,-0.806575,-0.832667
147.0,-0.854807,-0.825402
148.0,-0.777434,-0.829530
149.0,-0.824806,-0.811404
150.0,-0.868320,-0.815609
151.0,-0.928493,-0.815600
152.0,-0.853104,-0.796885
153.0,-0.832418,-0.785317
154.0,-0.688426,-0.744519
155.0,-0.784181,-0.740679
156.0,-0.748813,-0.878642
157.0,-0.595249,-1.059930
158.0,-0.667752,-1.201864
159.0,-0.365234,-1.295159
160.0,-0.731347,-1.344990
161.0,-2.480370,-1.332061
162.0,-3.043772,-1.328339
163.0,-2.631703,-1.283844
164.0,-1.972649,-1.248540
165.0,-1.430390,-1.204054
166.0,-0.533276,-1.185137
167.0,-0.739511,-1.125542
552.0,-0.214879,-0.914102
553.0,-0.171595,-0.659104
554.0,-0.133922,-0.447945
555.0,-0.138235,-0.292652
556.0,-0.016207,-0.183865
557.0,0.056919,-0.142201
558.0,0.016194,-0.076039
559.0,-0.097786,-0.048021
560.0,-0.109136,-0.024178
561.0,-0.124948,0.000144
562.0,-0.033309,0.006476
563.0,0.054432,-0.023570
564.0,0.121344,-0.087609
565.0,0.114512,-0.197542
566.0,0.157951,-0.355119
567.0,-0.062252,-0.535567
568.0,-0.376764,-0.728337
569.0,-0.711548,-0.943826
570.0,-1.302995,-1.162530
571.0,-1.988719,-1.382763
572.0,-2.274504,-1.562752
573.0,-2.438197,-1.680152
574.0,-2.619172,-1.741750
575.0,-2.570017,-1.746943
576.0,-2.521444,-1.707553
577.0,-2.045363,-1.634252
578.0,-1.250843,-1.499003
579.0,-0.801438,-1.337586
580.0,-0.439069,-1.162216
581.0,-0.238878,-0.951807
582.0,-0.423381,-0.733845
583.0,-0.365728,-0.518436
584.0,-0.337501,-0.337613
585.0,-0.333754,-0.222887
586.0,-0.094265,-0.154027
587.0,0.045521,-0.120703
588.0,0.063467,-0.103941
589.0,0.124511,-0.072134
