hours,dH_curl,dH_roll
762.0,-0.024125,-0.280305
763.0,-0.005139,-0.380068
764.0,0.054568,-0.483496
765.0,-0.554926,-0.523120
766.0,-0.795266,-0.549746
767.0,-0.901259,-0.594038
768.0,-0.979500,-0.635278
769.0,-1.082055,-0.674659
770.0,-1.154257,-0.722312
771.0,-1.088369,-0.762536
772.0,-0.610325,-0.733779
773.0,-0.482681,-0.671516
774.0,-0.496694,-0.614559
775.0,-0.576984,-0.535168
776.0,-0.428115,-0.433831
777.0,-0.209844,-0.335845
778.0,-0.048110,-0.483727
779.0,-0.217771,-0.633780
780.0,-0.026813,-0.590335
781.0,0.133989,-0.534346
782.0,0.021583,-0.469974
783.0,-2.862955,-0.420864
784.0,-2.410964,-0.385657
785.0,0.038663,-0.358848
786.0,0.175167,-0.302010
787.0,0.195482,-0.312053
788.0,0.161211,-0.433922
789.0,0.212632,-0.539925
790.0,0.273601,-0.410763
791.0,0.464279,-0.322962
792.0,-0.147323,-0.418092
793.0,-1.328447,-0.432689
794.0,-1.250452,-0.448979
795.0,-1.313008,-0.462413
796.0,-1.357354,-0.480133
797.0,-1.102890,-0.502933
